id_canonico,id_absorbido,nombre_canonico,nombre_absorbido,votos_canonico,votos_absorbido,camaras,distrito,fuentes_canonico,fuentes_absorbido,grupo
leg:c4556e55cff1,leg:49cb59cf440e,"CESAR, Nora","Cesar, Nora Noemí",842,107,diputados,BUENOS AIRES,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:c9993907cfd4,leg:80d53a9e1998,"GARCIA MENDEZ, Emilio","Garcia Mendez, Emilio Arturo",842,107,diputados,CABA,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:34e2127f300c,leg:d609957c98c6,"GALANTINI, Eduardo","Galantini, Eduardo Leonel",842,107,diputados,CORRIENTES,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:10441e96987c,leg:0d815d6a6470,"DELICH, Francisco","Delich, Francisco José",842,107,diputados,CORDOBA,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:408a1e83ae23,leg:edd1f846d535,"LEMOS, Silvia","Lemos, Silvia Beatriz",842,107,diputados,MENDOZA,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:86369a4a843d,leg:dc6028edd6f1,"DALLA FONTANA, Ariel","Dalla Fontana, Ariel  Raúl Armando",837,107,diputados,SANTA FE,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:9010e2995814,leg:be61b5d2cc1e,"FALCO, Luis Alberto","FALCO, LUIS",905,17,senado,RIO NEGRO,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:556d7f89b12f,leg:e35971918eec,"FERRIGNO OBARRIO, Santiago","Ferrigno, Santiago",711,182,diputados,LA PAMPA,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:fbdfef09e7c2,leg:4b8dd3d30356,"BOSCH de SARTORI, Irene Miriam","Bosch, Irene Miriam",711,182,diputados,MISIONES,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:364ceb043c08,leg:59bc4442cca5,"CAMAÑO, Dante","Camaño, Dante Alberto",732,107,diputados,BUENOS AIRES,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:d0748eae76d1,leg:fbc0ecc747d0,"ARANCIO DE BELLER, Mónica","ARANCIO de BELLER, LYLIA MÓNICA",639,17,senado,JUJUY,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:b794ed2d3645,leg:8800aa059a10,"Moreau, Leopoldo",MOREAU Leopoldo Raúl Guido,404,244,diputados,BUENOS AIRES,argentinadatos,ckan_diputados,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:8584a77eb06f,leg:9b8601d58cb0,"Reyes, Roxana",REYES Roxana Nahir,295,244,diputados,SANTA CRUZ,argentinadatos,ckan_diputados,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:b794ed2d3645,leg:90a2c1da63e9,"Moreau, Leopoldo","MOREAU, Leopoldo Raúl",404,42,diputados,BUENOS AIRES,argentinadatos,decada_votada,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:aad3d74645f0,leg:7450b3bd5804,"FERNANDEZ, Aníbal Domingo","FERNÁNDEZ, ANIBAL",368,5,senado,BUENOS AIRES,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:ce68255712d5,leg:1935b1a636bc,"OLALLA, STELLA MARIS","Olalla de Moreira, Stella Maris",244,122,senado,ENTRE RIOS,senado,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:5954673c399b,leg:b3e568e170ef,"RODAS, ANTONIO JOSÉ","Rodas, Antonio",244,122,senado,CHACO,senado,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:c103c1e4186f,leg:e87f8d9c1ae6,"ABALOS, Roberto","Abalos, Roberto José",217,95,diputados,SANTIAGO DEL ESTERO,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:d2a384ebfd8b,leg:0451cfd41d79,"Alvarez Rivero, Carmen Silvia","ALVAREZ RIVERO, CARMEN",234,71,senado,CORDOBA/SANTA FE,argentinadatos,manual_2026/senado,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:4819f762c5e3,leg:fc4e93b057d5,"RUIZ DIAZ, Elsa Beatriz","RUIZ DIAZ, ELSA B.",292,5,senado,ENTRE RIOS,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:929d25cfb09f,leg:9db028f422d2,"Coto, Agustín","COTO, AGUSTÍN PEDRO",112,7,senado,NEUQUEN,argentinadatos,manual_2026,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:97bbbf7cc358,leg:c4eabf6d9ca4,"Royón, Flavia","ROYÓN, FLAVIA GABRIELA",112,7,senado,LA RIOJA,argentinadatos,manual_2026,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:5bbadda594e8,leg:43475430d69a,"Monte de Oca, Belén","MONTE DE OCA, MARÍA BELÉN",112,7,senado,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",argentinadatos,manual_2026,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:c183b6af140a,leg:456c40c2dd0f,RODRIGUEZ Alejandro,"Rodriguez, Alejandro ""Topo""",31,21,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:b2b0502b391a,leg:839eeae73918,"Aragones de Juarez, Mercedes","ARAGONES de JUAREZ, Mercedes María",26,5,diputados,SANTIAGO DEL ESTERO,argentinadatos,decada_votada,"3-PROBABLE (sin distrito, fuentes disjuntas)"
